Z,Y,T
0.0,-0.0135,184.0989962414539
0.0,-0.0122931,184.39578378543916
0.0,-0.0110862,185.22454187799246
0.0,-0.0098793,186.63981063715985
0.0,-0.0086724,188.74644454273022
0.0,-0.0074655,191.77657054680162
0.0,-0.0062586,195.85390688396166
0.0,-0.0050517,201.19231481670442
0.0,-0.0038448,208.1304273767902
0.0,-0.0026379,217.33468194259171
0.0,-0.001431,229.1021750389515
0.0,-0.0002241,244.00950284755388
0.0,0.0009828,262.8283102145251
0.0,0.0021897,287.05425442712436
0.0,0.0033966,317.0018571324356
0.0,0.0046034,353.36458480213025
0.0,0.0058103,396.8984256484149
0.0,0.0070172,448.58859499052187
0.0,0.0082241,507.9438569207001
0.0,0.009431,574.6263043880477
0.0,0.0106379,648.5824424925654
0.0,0.0118448,729.9208188626139
0.0,0.0130517,817.4794196587886
0.0,0.0142586,910.6104078783146
0.0,0.0154655,1009.8485642956014
0.0,0.0166724,1114.0330604620283
0.0,0.0178793,1222.5626788660438
0.0,0.0190862,1333.6923550454173
0.0,0.0202931,1446.1107439842303
0.0,0.0215,1559.6313097172215
0.0004138,-0.0135,184.0989935259673
-0.0004138,-0.0135,184.0989935259673
0.0004138,-0.0122931,184.39578143118126
-0.0004138,-0.0122931,184.39578143118126
0.0004138,-0.0110862,185.22454091195533
-0.0004138,-0.0110862,185.22454091195533
0.0004138,-0.0098793,186.63981197024148
-0.0004138,-0.0098793,186.63981197024148
0.0004138,-0.0086724,188.74644801988188
-0.0004138,-0.0086724,188.74644801988188
0.0004138,-0.0074655,191.77657864068652
-0.0004138,-0.0074655,191.77657864068652
0.0004138,-0.0062586,195.8539219484915
-0.0004138,-0.0062586,195.8539219484915
0.0004138,-0.0050517,201.19233923090428
-0.0004138,-0.0050517,201.19233923090428
0.0004138,-0.0038448,208.1304662210707
-0.0004138,-0.0038448,208.1304662210707
0.0004138,-0.0026379,217.33474026382405
-0.0004138,-0.0026379,217.33474026382405
0.0004138,-0.001431,229.10226700466282
-0.0004138,-0.001431,229.10226700466282
0.0004138,-0.0002241,244.00962353258
-0.0004138,-0.0002241,244.00962353258
0.0004138,0.0009828,262.8284486184072
-0.0004138,0.0009828,262.8284486184072
0.0004138,0.0021897,287.0543990818704
-0.0004138,0.0021897,287.0543990818704
0.0004138,0.0033966,317.00195941574873
-0.0004138,0.0033966,317.00195941574873
0.0004138,0.0046034,353.3646232611933
-0.0004138,0.0046034,353.3646232611933
0.0004138,0.0058103,396.8983945671105
-0.0004138,0.0058103,396.8983945671105
0.0004138,0.0070172,448.58845856197706
-0.0004138,0.0070172,448.58845856197706
0.0004138,0.0082241,507.94366185129604
-0.0004138,0.0082241,507.94366185129604
0.0004138,0.009431,574.6260552211926
-0.0004138,0.009431,574.6260552211926
0.0004138,0.0106379,648.582159671251
