X,Y,T
-0.012569,-0.0122931,183.85853912808446
-0.012569,-0.0110862,184.63493539438258
-0.012569,-0.0098793,186.0901009628592
-0.012569,-0.0086724,188.09956992540592
-0.012569,-0.0074655,190.99733667225829
-0.012569,-0.0062586,195.1224345670383
-0.012569,-0.0050517,200.23838290798534
-0.012569,-0.0038448,206.97973826930632
-0.012569,-0.0026379,216.23591034694275
-0.012569,-0.001431,227.52211017679286
-0.012569,-0.0002241,241.93989387855137
-0.012569,0.0009828,261.4725055338054
-0.012569,0.0021897,284.90711327747823
-0.012569,0.0033966,314.04843704074835
-0.012569,0.0046034,351.79987700854815
-0.012569,0.0058103,395.3227744451156
-0.012569,0.0070172,446.2874081228835
-0.012569,0.0082241,507.16526531958743
-0.012569,0.009431,574.0340221034778
-0.012569,0.0106379,647.9861873005186
-0.012569,0.0118448,730.8090542298702
-0.012569,0.0130517,816.5933490125213
-0.012569,0.0142586,910.6405542207508
-0.012569,0.0154655,1010.4715589824397
-0.012569,0.0166724,1115.549465087896
-0.012569,0.0178793,1224.852367871651
-0.012569,0.0190862,1336.778418154324
-0.012569,0.0202931,1449.960154431439
-0.0116379,-0.0122931,183.22174520942568
-0.0116379,-0.0110862,184.12783596290134
-0.0116379,-0.0098793,185.3255636239398
-0.0116379,-0.0086724,187.32955022961264
-0.0116379,-0.0074655,190.17050518070297
-0.0116379,-0.0062586,193.91078692341418
-0.0116379,-0.0050517,198.62435345130763
-0.0116379,-0.0038448,205.37733361010115
-0.0116379,-0.0026379,213.97367949757196
-0.0116379,-0.001431,224.63711167752376
-0.0116379,-0.0002241,238.62276551553873
-0.0116379,0.0009828,257.2228351202413
-0.0116379,0.0021897,280.20486771835886
-0.0116379,0.0033966,308.260172989455
-0.0116379,0.0046034,345.33279290919916
-0.0116379,0.0058103,389.86551548182103
-0.0116379,0.0070172,441.1919064349318
-0.0116379,0.0082241,500.4125813372724
-0.0116379,0.009431,569.4181365046015
-0.0116379,0.0106379,644.896617986208
-0.0116379,0.0118448,725.649419043918
-0.0116379,0.0130517,813.9993645116124
-0.0116379,0.0142586,909.1644982293285
-0.0116379,0.0154655,1009.1634628881806
-0.0116379,0.0166724,1114.4519831227713
-0.0116379,0.0178793,1223.92027815984
-0.0116379,0.0190862,1335.9789166363994
-0.0116379,0.0202931,1449.2395189872836
-0.0107069,-0.0122931,182.53084804763031
-0.0107069,-0.0110862,183.16105765724419
-0.0107069,-0.0098793,184.40507822038023
-0.0107069,-0.0086724,186.1259807574287
-0.0107069,-0.0074655,188.52990425367938
-0.0107069,-0.0062586,191.9125317554669
-0.0107069,-0.0050517,196.54262485171134
-0.0107069,-0.0038448,202.53417300483085
-0.0107069,-0.0026379,210.29038386631348
-0.0107069,-0.001431,220.09182292411546
-0.0107069,-0.0002241,233.22009174083226
-0.0107069,0.0009828,250.33192479782147
-0.0107069,0.0021897,272.0820831787476
-0.0107069,0.0033966,299.70301475870144
-0.0107069,0.0046034,334.4507757838686
-0.0107069,0.0058103,379.3024742677782
-0.0107069,0.0070172,431.82995832696486
-0.0107069,0.0082241,492.5564717053501
-0.0107069,0.009431,561.0846393651257
-0.0107069,0.0106379,637.2379884405557
-0.0107069,0.0118448,719.8252179818162
-0.0107069,0.0130517,809.5164558878173
-0.0107069,0.0142586,904.7918945759818
-0.0107069,0.0154655,1005.5504761057598
-0.0107069,0.0166724,1111.4656163917518
-0.0107069,0.0178793,1221.3990580649333
-0.0107069,0.0190862,1333.82383759878
-0.0107069,0.0202931,1447.3005433430624
-0.0097759,-0.0122931,181.46252828291748
-0.0097759,-0.0110862,182.04461491645662
-0.0097759,-0.0098793,183.0035661970963
-0.0097759,-0.0086724,184.5153297283219
-0.0097759,-0.0074655,186.54573348696798
-0.0097759,-0.0062586,189.45646399611266
-0.0097759,-0.0050517,193.47269498197718
-0.0097759,-0.0038448,198.51832460641367
-0.0097759,-0.0026379,205.27712082762545
-0.0097759,-0.001431,214.43821494136822
-0.0097759,-0.0002241,226.72327896159715
-0.0097759,0.0009828,241.8849517667944
-0.0097759,0.0021897,260.37919952630466
-0.0097759,0.0033966,286.5069134290834
-0.0097759,0.0046034,321.0764972748018
-0.0097759,0.0058103,364.5679722893049
-0.0097759,0.0070172,417.0551004500793
-0.0097759,0.0082241,479.7132729779157
-0.0097759,0.009431,550.7459188397414
-0.0097759,0.0106379,627.4603344903485
-0.0097759,0.0118448,712.4149253628657
-0.0097759,0.0130517,803.2541345773004
-0.0097759,0.0142586,900.1965751027885
-0.0097759,0.0154655,1001.7602650980518
-0.0097759,0.0166724,1108.334012159636
-0.0097759,0.0178793,1218.7556487027466
-0.0097759,0.0190862,1331.564527293431
-0.0097759,0.0202931,1445.2678886859749
-0.0088448,-0.0122931,180.28769719036075
-0.0088448,-0.0110862,180.6453630593799
-0.0088448,-0.0098793,181.41087731180866
-0.0088448,-0.0086724,182.45254535818137
-0.0088448,-0.0074655,184.14752256020344
-0.0088448,-0.0062586,186.20036809598759
-0.0088448,-0.0050517,189.33787787162265
-0.0088448,-0.0038448,194.3281078110544
-0.0088448,-0.0026379,201.17560289990712
-0.0088448,-0.001431,210.1711721944913
-0.0088448,-0.0002241,221.80567237397867
-0.0088448,0.0009828,236.9088651545835
-0.0088448,0.0021897,255.58294920096955
-0.0088448,0.0033966,277.493121939654
-0.0088448,0.0046034,302.6024675328118
-0.0088448,0.0058103,345.5221572083634
-0.0088448,0.0070172,400.24917248118186
-0.0088448,0.0082241,464.20384939445955
-0.0088448,0.009431,535.9438077585486
-0.0088448,0.0106379,616.1778067134554
-0.0088448,0.0118448,702.8922911414547
-0.0088448,0.0130517,795.5671890758535
-0.0088448,0.0142586,893.5104649855732
-0.0088448,0.0154655,996.3211423453737
-0.0088448,0.0166724,1103.8990413395463
-0.0088448,0.0178793,1215.0387157075063
-0.0088448,0.0190862,1328.3943080595732
-0.0088448,0.0202931,1442.4294125881806
-0.0079138,-0.0122931,178.85258286105523
-0.0079138,-0.0110862,179.09950962330342
-0.0079138,-0.0098793,179.5249390968466
-0.0079138,-0.0086724,180.27871104624822
-0.0079138,-0.0074655,181.13244806899235
-0.0079138,-0.0062586,182.81436790682733
-0.0079138,-0.0050517,185.9947698551578
-0.0079138,-0.0038448,190.14759308191728
-0.0079138,-0.0026379,195.76230904686975
-0.0079138,-0.001431,203.80652062188898
-0.0079138,-0.0002241,214.59480673680582
-0.0079138,0.0009828,229.20314082367042
-0.0079138,0.0021897,247.74824352735195
-0.0079138,0.0033966,270.6615400781268
-0.0079138,0.0046034,297.7830886715055
-0.0079138,0.0058103,326.95006408387343
-0.0079138,0.0070172,377.164332324552
-0.0079138,0.0082241,444.0308953989986
-0.0079138,0.009431,519.5326153613361
-0.0079138,0.0106379,602.5303584020962
-0.0079138,0.0118448,691.7999109261896
-0.0079138,0.0130517,786.5269011243624
-0.0079138,0.0142586,886.4766372112631
-0.0079138,0.0154655,990.6078112157317
-0.0079138,0.0166724,1099.24734208206
-0.0079138,0.0178793,1211.1432813882834
-0.0079138,0.0190862,1325.0726284810805
-0.0079138,0.0202931,1439.4569536981307
-0.0069828,-0.0122931,177.37699483070438
-0.0069828,-0.0110862,177.41951268506315
-0.0069828,-0.0098793,177.50903210763698
-0.0069828,-0.0086724,177.74205436791874
-0.0069828,-0.0074655,178.14509439109733
-0.0069828,-0.0062586,179.73834124232775
-0.0069828,-0.0050517,181.76099284198517
-0.0069828,-0.0038448,184.84065655779676
-0.0069828,-0.0026379,188.94812458370902
-0.0069828,-0.001431,195.48784167300562
-0.0069828,-0.0002241,205.1314257350593
-0.0069828,0.0009828,218.75277089408985
-0.0069828,0.0021897,237.64564847808617
-0.0069828,0.0033966,261.78567110685316
-0.0069828,0.0046034,290.1157203030575
-0.0069828,0.0058103,322.0447653009328
-0.0069828,0.0070172,354.9178363060338
-0.0069828,0.0082241,420.78321741320184
-0.0069828,0.009431,500.64981882240454
-0.0069828,0.0106379,587.2367276413794
-0.0069828,0.0118448,679.4442551436437
-0.0069828,0.0130517,776.7358513189026
-0.0069828,0.0142586,878.4551952926045
-0.0069828,0.0154655,984.1731890082165
-0.0069828,0.0166724,1094.0542871192015
-0.0069828,0.0178793,1206.832548332453
-0.0069828,0.0190862,1321.4092412673808
-0.0069828,0.0202931,1436.1915659007636
-0.0060517,-0.0122931,175.8565887415361
-0.0060517,-0.0110862,175.71903667294595
-0.0060517,-0.0098793,175.51118501054322
-0.0060517,-0.0086724,175.17875422479463
-0.0060517,-0.0074655,175.50450923413385
-0.0060517,-0.0062586,176.29765380806236
-0.0060517,-0.0050517,177.29733044620443
-0.0060517,-0.0038448,178.71450233775468
-0.0060517,-0.0026379,180.73819791408093
-0.0060517,-0.001431,185.12016047312244
-0.0060517,-0.0002241,192.83007843777352
-0.0060517,0.0009828,205.3789904975213
-0.0060517,0.0021897,224.40822372219793
-0.0060517,0.0033966,249.87095502518596
-0.0060517,0.0046034,280.07597693069147
-0.0060517,0.0058103,314.13671411828113
-0.0060517,0.0070172,350.2518559452193
-0.0060517,0.0082241,395.24495025691897
-0.0060517,0.009431,480.12118404561437
-0.0060517,0.0106379,570.4591206447327
-0.0060517,0.0118448,666.3445965293797
-0.0060517,0.0130517,766.2318391562442
-0.0060517,0.0142586,870.1634870098709
-0.0060517,0.0154655,977.541119246469
-0.0060517,0.0166724,1088.7130012902667
-0.0060517,0.0178793,1202.4080653966557
-0.0060517,0.0190862,1317.6522481518123
-0.0060517,0.0202931,1432.845920980185
-0.0051207,-0.0122931,174.35956283612666
-0.0051207,-0.0110862,174.06995105661227
-0.0051207,-0.0098793,173.58605589320322
-0.0051207,-0.0086724,172.78725832008894
-0.0051207,-0.0074655,172.98747716684545
-0.0051207,-0.0062586,172.85545475803872
-0.0051207,-0.0050517,172.4664994697989
-0.0051207,-0.0038448,171.98218290513094
-0.0051207,0.0033966,234.9402423834572
-0.0051207,0.0046034,268.0855385490653
-0.0051207,0.0058103,304.7826437483755
-0.0051207,0.0070172,343.8248165774054
-0.0051207,0.0082241,382.6861738241736
-0.0051207,0.009431,457.6486808218448
-0.0051207,0.0106379,553.4502143637917
-0.0051207,0.0118448,652.6514636268345
-0.0051207,0.0130517,755.9425292313825
-0.0051207,0.0142586,862.1245072538638
-0.0051207,0.0154655,971.1968293925407
-0.0051207,0.0166724,1083.6271222123148
-0.0051207,0.0178793,1198.2272721032357
-0.0051207,0.0190862,1314.1192306750734
-0.0051207,0.0202931,1429.7088222932705
-0.0041897,-0.0122931,173.03548149816598
-0.0041897,-0.0110862,172.58458341277318
-0.0041897,-0.0098793,171.67615829086515
-0.0041897,-0.0086724,170.97122235891052
-0.0041897,-0.0074655,170.3830063060201
-0.0041897,-0.0062586,169.37322536384443
-0.0041897,-0.0050517,167.69942770286633
-0.0041897,0.0046034,253.72737266784077
-0.0041897,0.0058103,294.15704736258544
-0.0041897,0.0070172,336.40711440003844
-0.0041897,0.0082241,378.6214376947
-0.0041897,0.009431,435.18379498520153
-0.0041897,0.0106379,536.5121392594378
-0.0041897,0.0118448,640.2091806168197
-0.0041897,0.0130517,745.8837180658606
-0.0041897,0.0142586,854.1862508061631
-0.0041897,0.0154655,964.9673545859264
-0.0041897,0.0166724,1078.6431660192804
-0.0041897,0.0178793,1194.1437550797755
-0.0041897,0.0190862,1310.6756334810866
-0.0041897,0.0202931,1426.654990472578
-0.0032586,-0.0122931,171.8275167115964
-0.0032586,-0.0110862,171.1953473359055
-0.0032586,-0.0098793,170.16219531482844
-0.0032586,-0.0086724,169.3786454339992
-0.0032586,-0.0074655,168.19304308531215
-0.0032586,-0.0062586,166.43298551436646
-0.0032586,-0.0050517,163.64461716914514
-0.0032586,0.0058103,282.2886556314416
-0.0032586,0.0070172,328.5620092307123
-0.0032586,0.0082241,373.9354856865755
-0.0032586,0.009431,416.01774993755566
