X,Y,T
-0.0132273,-0.0131465,183.7240134555522
-0.0132273,-0.0127929,183.87132529759532
-0.0132273,-0.0124394,184.01950848007658
-0.0132273,-0.0120859,184.16864996328752
-0.0132273,-0.0117323,184.31884093817177
-0.0132273,-0.0113788,184.4700489112809
-0.0132273,-0.0110253,184.85646239456764
-0.0132273,-0.0106717,185.27482807337051
-0.0132273,-0.0103182,185.69414810004358
-0.0132273,-0.0099646,186.11472104789112
-0.0132273,-0.0096111,186.53637700233733
-0.0132273,-0.0092576,187.14149116465637
-0.0132273,-0.008904,187.90396502574697
-0.0132273,-0.0085505,188.66746525436957
-0.0132273,-0.008197,189.43228379571664
-0.0132273,-0.0078434,190.1987271738793
-0.0132273,-0.0074899,191.0567677160508
-0.0132273,-0.0071364,192.29157260704864
-0.0132273,-0.0067828,193.52807762946884
-0.0132273,-0.0064293,194.76567348661428
-0.0132273,-0.0060758,196.00480917834471
-0.0132273,-0.0057222,197.24593974374233
-0.0132273,-0.0053687,199.0501335373974
-0.0132273,-0.0050152,200.95543743481522
-0.0132273,-0.0046616,202.8625740748077
-0.0132273,-0.0043081,204.77054632702163
-0.0132273,-0.0039545,206.6805171922366
-0.0132273,-0.003601,209.07103001476227
-0.0132273,-0.0032475,211.9340428421538
-0.0132273,-0.0028939,214.79859864464316
-0.0132273,-0.0025404,217.66311216221854
-0.0132273,-0.0021869,220.5284276086424
-0.0132273,-0.0018333,223.61375764473001
-0.0132273,-0.0014798,227.85103858831152
-0.0132273,-0.0011263,232.08837250534384
-0.0132273,-0.0007727,236.3269582924029
-0.0132273,-0.0004192,240.5644008388209
-0.0132273,-6.57e-05,244.80189880493475
-0.0132273,0.0002879,250.62174204103565
-0.0132273,0.0006414,256.80103463714045
-0.0132273,0.0009949,262.98074119621816
-0.0132273,0.0013485,269.16260271538
-0.0132273,0.001702,275.3431159626727
-0.0132273,0.0020556,282.74547983422724
-0.0132273,0.0024091,291.5265198466926
-0.0132273,0.0027626,300.3107264631425
-0.0132273,0.0031162,309.10044341407735
-0.0132273,0.0034697,317.89057350273174
-0.0132273,0.0038232,327.0779527172771
-0.0132273,0.0041768,339.0513105242173
-0.0132273,0.0045303,351.0290342171543
-0.0132273,0.0048838,363.01406890546264
-0.0132273,0.0052374,375.009350211887
-0.0132273,0.0055909,387.00770490653184
-0.0132273,0.0059444,401.73275287092616
-0.0132273,0.006298,417.243139011495
